2026-06-19 18:13:10 | INFO     | app | POST /api/contact -> 422 (2.9 ms)
2026-06-19 18:13:52 | INFO     | app | Application shutting down
2026-06-19 18:13:52 | INFO     | app | Application started (env=development)
2026-06-19 18:14:02 | INFO     | app | Application shutting down
2026-06-19 18:14:03 | INFO     | app | Application started (env=development)
2026-06-19 18:14:06 | INFO     | app | Application shutting down
2026-06-19 18:14:07 | INFO     | app | Application started (env=development)
2026-06-19 18:14:12 | INFO     | app | Application shutting down
2026-06-19 18:14:12 | INFO     | app | Application started (env=development)
2026-06-19 18:14:26 | INFO     | app | Application shutting down
2026-06-19 18:14:26 | INFO     | app | Application started (env=development)
2026-06-19 18:14:58 | INFO     | app | GET /docs -> 200 (0.4 ms)
2026-06-19 18:14:58 | INFO     | app | GET /openapi.json -> 200 (9.2 ms)
2026-06-19 18:15:08 | INFO     | app | Application shutting down
2026-06-19 18:15:22 | INFO     | app | Application started (env=development)
2026-06-19 18:15:23 | INFO     | app | GET /docs -> 200 (0.3 ms)
2026-06-19 18:15:23 | INFO     | app | GET /openapi.json -> 200 (11.8 ms)
2026-06-19 18:16:10 | INFO     | app | contact: stored #18 from ivan@masdasd.com (ai=success)
2026-06-19 18:16:10 | INFO     | app | POST /api/contact -> 200 (1392.0 ms)
2026-06-19 18:20:35 | INFO     | app | contact: stored #19 from ivan@masdasd.com (ai=success)
2026-06-19 18:20:35 | INFO     | app | POST /api/contact -> 200 (1845.4 ms)
2026-06-19 18:23:01 | INFO     | app | Application shutting down
2026-06-19 18:23:08 | INFO     | app | Application started (env=development)
2026-06-19 18:23:09 | INFO     | app | GET /docs -> 200 (0.3 ms)
2026-06-19 18:23:09 | INFO     | app | GET /openapi.json -> 200 (9.5 ms)
2026-06-19 18:24:08 | WARNING  | app | rate_limit: IP 127.0.0.1 exceeded (3 hits)
2026-06-19 18:24:08 | WARNING  | app | AppError: Превышен лимит: не более 3 заявок за 60 мин.
2026-06-19 18:24:08 | INFO     | app | POST /api/contact -> 429 (9.8 ms)
2026-06-19 18:26:57 | WARNING  | app | rate_limit: IP 127.0.0.1 exceeded (3 hits)
2026-06-19 18:26:57 | WARNING  | app | AppError: Превышен лимит: не более 3 заявок за 60 мин.
2026-06-19 18:26:57 | INFO     | app | POST /api/contact -> 429 (1.5 ms)
2026-06-19 18:27:01 | INFO     | app | Application shutting down
2026-06-19 18:27:33 | INFO     | app | Application started (env=development)
2026-06-19 18:27:36 | INFO     | app | GET /docs -> 200 (0.6 ms)
2026-06-19 18:27:36 | INFO     | app | GET /openapi.json -> 200 (13.0 ms)
2026-06-19 18:28:37 | WARNING  | app | ai_service: fallback used (LocalProtocolError: Illegal header value b'Api-Key ')
2026-06-19 18:28:37 | INFO     | app | contact: stored #20 from ifan@masdasd.com (ai=fallback)
2026-06-19 18:28:37 | INFO     | app | POST /api/contact -> 200 (372.0 ms)
2026-06-19 18:29:36 | INFO     | app | Application shutting down
